,Unnamed: 0,date,time,abstract,sentiment_score,sentiment_score1,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment
0,0,2019-06-06,15:48:28+0000,"Seven Democrats, including the presidential candidate Elizabeth Warren, want the Fed to examine the bank’s compliance with anti-money-laundering laws over flagged transactions.","{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.0772}","{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.0772}",0.0,0.942,0.058,0.0772
1,1,2019-06-26,15:48:41+0000,"President Trump blasted the Fed for raising rates, even as it considers cutting them, and voiced jealousy for the European Central Bank’s policies.","{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4215}","{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4215}",0.153,0.847,0.0,-0.4215
2,2,2019-06-21,15:52:00+0000,"The presidents of the St. Louis and Minneapolis branches of the Federal Reserve want rates cut now, and even the central bank’s vice chair says uncertainty is growing.","{'neg': 0.143, 'neu': 0.762, 'pos': 0.095, 'compound': -0.3612}","{'neg': 0.143, 'neu': 0.762, 'pos': 0.095, 'compound': -0.3612}",0.143,0.762,0.095,-0.3612
3,3,2019-06-24,21:08:01+0000,"From Lyndon Johnson to Richard Nixon, presidents have long had fraught relationships with Fed chairs.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
4,4,2019-06-25,17:00:06+0000,Mr. Powell underlined the Fed’s insulation from politics and kept the door open for interest rate cuts at a time of trade uncertainty.,"{'neg': 0.173, 'neu': 0.714, 'pos': 0.113, 'compound': -0.1531}","{'neg': 0.173, 'neu': 0.714, 'pos': 0.113, 'compound': -0.1531}",0.173,0.714,0.113,-0.1531
5,5,2019-06-20,20:02:57+0000,"The rebound is a repeat of what happened to stocks in January, the last time Fed officials began to say things investors like to hear.","{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}","{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}",0.0,0.902,0.098,0.3612
6,6,2019-06-24,16:32:54+0000,President Trump’s central bank criticism comes in defiance of record stock prices and what is poised to be America’s longest period of economic growth.,"{'neg': 0.102, 'neu': 0.737, 'pos': 0.161, 'compound': 0.1779}","{'neg': 0.102, 'neu': 0.737, 'pos': 0.161, 'compound': 0.1779}",0.102,0.737,0.161,0.1779
7,7,2019-06-19,07:00:05+0000,"Yields on Treasury debt have fallen, which means investors expect the Federal Reserve to push interest rates lower and keep them there.","{'neg': 0.248, 'neu': 0.586, 'pos': 0.166, 'compound': -0.34}","{'neg': 0.248, 'neu': 0.586, 'pos': 0.166, 'compound': -0.34}",0.248,0.586,0.166,-0.34
8,8,2019-06-21,10:20:09+0000,Investors think that an interest rate cut is a certainty in July.,"{'neg': 0.139, 'neu': 0.53, 'pos': 0.331, 'compound': 0.4404}","{'neg': 0.139, 'neu': 0.53, 'pos': 0.331, 'compound': 0.4404}",0.139,0.53,0.331,0.4404
9,9,2019-06-19,09:00:07+0000,The Federal Reserve left interest rates unchanged but opened the door to a future rate cut if risks to economic growth intensify.,"{'neg': 0.191, 'neu': 0.614, 'pos': 0.195, 'compound': 0.0258}","{'neg': 0.191, 'neu': 0.614, 'pos': 0.195, 'compound': 0.0258}",0.191,0.614,0.195,0.0258
10,10,2019-06-12,19:30:22+0000,"Sam Bell and his colleagues at Employ America want the central bank to cut interest rates now, and to lift them less quickly after the next recession, to create more jobs.","{'neg': 0.131, 'neu': 0.697, 'pos': 0.172, 'compound': 0.128}","{'neg': 0.131, 'neu': 0.697, 'pos': 0.172, 'compound': 0.128}",0.131,0.697,0.172,0.128
